task,model,variant,cfg_label,score,score_col
STSBenchmark,Llama,base,eos+indices(idx1-8),0.3465384821065285,Score
STSBenchmark,Llama,base,idf_mean+indices(idx1-8),0.2232911456099146,Score
STSBenchmark,Llama,base,mean+indices(idx1-8),0.2134811308742262,Score
STSBenchmark,Llama,base,mean+indices(idx13-20),0.202816958522274,Score
STSBenchmark,Llama Instruct,instruct,idf_mean+indices(idx25-32),0.6001483761746064,Score
STSBenchmark,Llama Instruct,instruct,idf_mean+last4,0.5899422377501294,Score
STSBenchmark,Llama Instruct,instruct,mean_no_special+indices(idx25-32),0.5484556558302172,Score
STSBenchmark,Llama Instruct,instruct,idf_mean+last,0.5473777550882891,Score
STSBenchmark,Llama Instruct,instruct,mean_no_special+last4,0.5291670551556467,Score
STSBenchmark,Llama Instruct,instruct,mean_no_special+indices(idx1-8),0.5235897745620808,Score
STSBenchmark,Llama Instruct,instruct,mean_no_special+indices(idx13-20),0.5035545471874056,Score
STSBenchmark,Llama Instruct,instruct,eos+last4,0.4870014913632133,Score
STSBenchmark,Llama Instruct,instruct,eos+indices(idx25-32),0.4857064399583789,Score
STSBenchmark,Llama Instruct,instruct,mean+last,0.4823386340744771,Score
STSBenchmark,Llama Instruct,instruct,mean_no_special+last,0.4799034122611759,Score
STSBenchmark,Llama Instruct,instruct,max+indices(idx1-8),0.4791117501831188,Score
STSBenchmark,Llama Instruct,instruct,max+indices(idx25-32),0.4733715181859907,Score
STSBenchmark,Llama Instruct,instruct,max+last4,0.4557431427585415,Score
STSBenchmark,Llama Instruct,instruct,max+indices(idx13-20),0.4533257967127229,Score
STSBenchmark,Llama Instruct,instruct,eos+last,0.4507635524777719,Score
STSBenchmark,Llama Instruct,instruct,max+last,0.4363984391660792,Score
STSBenchmark,Llama Instruct,instruct,mean+last4,0.417528837772653,Score
STSBenchmark,Llama Instruct,instruct,eos+indices(idx13-20),0.3814706815451963,Score
STSBenchmark,Llama Instruct,instruct,eos+indices(idx1-8),0.3777796260875032,Score
STSBenchmark,Llama Instruct,instruct,idf_mean+indices(idx13-20),0.3733172509458951,Score
STSBenchmark,Llama Instruct,instruct,mean+indices(idx25-32),0.3586521329216276,Score
STSBenchmark,Llama Instruct,instruct,idf_mean+indices(idx1-8),0.2298888290395731,Score
STSBenchmark,Llama Instruct,instruct,mean+indices(idx1-8),0.227006908660669,Score
STSBenchmark,Llama Instruct,instruct,mean+indices(idx13-20),0.2085819234077588,Score
